Nomor,Lambda,Abs 1,Trans 1,Abs 2,Trans 2,Abs 3,Trans 3
117,684.0,0.319,0.4797334486366891,0.252,0.5597576014951101,0.232,0.5861381645140287
118,683.0,0.349,0.44771330417636257,0.278,0.5272298614228227,0.254,0.5571857489319298
119,682.0,0.38,0.4168693834703354,0.304,0.4965923214503361,0.277,0.5284452517751804
120,681.0,0.412,0.38725764492161724,0.332,0.46558609352295893,0.3,0.5011872336272722
121,680.0,0.445,0.3589219346450052,0.361,0.4355118736855686,0.325,0.47315125896148047
122,679.0,0.479,0.3318944575526104,0.391,0.40644332916521275,0.35,0.44668359215096315
123,678.0,0.513,0.30690219883911574,0.422,0.3784425847170933,0.376,0.4207266283844441
124,677.0,0.547,0.28379190284415556,0.453,0.35237087104248715,0.403,0.3953666200681279
125,676.0,0.58,0.2630267991895382,0.484,0.328095293113119,0.429,0.3723917062545685
126,675.0,0.612,0.2443430552693972,0.514,0.3061963433690677,0.455,0.350751873952568
127,674.0,0.642,0.2280342072000418,0.543,0.28641779699065806,0.479,0.3318944575526104
128,673.0,0.67,0.2137962089502232,0.57,0.2691534803926916,0.503,0.3140508693876217
129,672.0,0.696,0.20137242498623883,0.595,0.25409727055493053,0.524,0.2992264636608189
130,671.0,0.717,0.19186687406702896,0.618,0.24099054286865948,0.544,0.28575905433749466
131,670.0,0.736,0.18365383433483465,0.638,0.23014418174085083,0.561,0.27478941531023965
132,669.0,0.752,0.17701089583174212,0.655,0.22130947096056375,0.576,0.265460556197554
133,668.0,0.764,0.1721868574986007,0.669,0.21428906011200585,0.587,0.2588212915153092
134,667.0,0.774,0.16826740610704674,0.68,0.20892961308540392,0.597,0.2529297996446145
135,666.0,0.78,0.16595869074375605,0.688,0.20511621788255657,0.604,0.2488857318282391
136,665.0,0.784,0.16443717232149316,0.694,0.2023019178678272,0.609,0.24603676041476275
137,664.0,0.784,0.16443717232149316,0.697,0.20090928126087282,0.612,0.2443430552693972
138,663.0,0.783,0.1648162391525508,0.698,0.20044720273651614,0.613,0.24378108183687525
139,662.0,0.779,0.16634126503701693,0.697,0.20090928126087282,0.612,0.2443430552693972
140,661.0,0.774,0.16826740610704674,0.694,0.2023019178678272,0.61,0.24547089156850305
141,660.0,0.768,0.17060823890031235,0.689,0.20464446367246744,0.606,0.24774220576332856
142,659.0,0.761,0.17338039977541378,0.684,0.2070141348791042,0.601,0.2506109253032114
143,658.0,0.752,0.17701089583174212,0.677,0.21037784397664752,0.596,0.25351286304979076
144,657.0,0.743,0.1807174126010927,0.67,0.2137962089502232,0.59,0.2570395782768864
145,656.0,0.734,0.18450154191794738,0.661,0.21827299118430013,0.584,0.2606153549998896
146,655.0,0.725,0.18836490894898006,0.652,0.22284351492703036,0.577,0.2648500138606701
147,654.0,0.715,0.1927524913190936,0.644,0.2269864851883822,0.57,0.2691534803926916
148,653.0,0.704,0.19769696401118608,0.634,0.2322736796357107,0.563,0.27352687263067127
149,652.0,0.692,0.20323570109362218,0.623,0.23823194693586902,0.555,0.278612116862977
150,651.0,0.681,0.20844908830972886,0.613,0.24378108183687525,0.547,0.28379190284415556
151,650.0,0.67,0.2137962089502232,0.602,0.25003453616964316,0.54,0.28840315031266056
152,649.0,0.658,0.21978598727848248,0.59,0.2570395782768864,0.532,0.2937649651961531
153,648.0,0.646,0.22594357702209775,0.578,0.2642408757321947,0.523,0.2999162518987651
154,647.0,0.635,0.23173946499684786,0.566,0.2716439268839083,0.515,0.3054921113215513
155,646.0,0.623,0.23823194693586902,0.553,0.2798981319634362,0.507,0.31117163371060175
156,645.0,0.611,0.24490632418447456,0.541,0.2877398414735669,0.499,0.3169567463043491
157,644.0,0.6,0.251188643150958,0.529,0.29580124665515456,0.491,0.32284941217126356
158,643.0,0.588,0.25822601906345966,0.517,0.3040885025676279,0.484,0.328095293113119
159,642.0,0.577,0.2648500138606701,0.505,0.3126079367123955,0.476,0.3341950400261143
160,641.0,0.567,0.2710191631890843,0.493,0.3213660538640317,0.469,0.3396252725904084
161,640.0,0.558,0.27669416454115114,0.482,0.32960971217745777,0.462,0.34514373933585624
162,639.0,0.548,0.2831391995799379,0.472,0.3372873086588689,0.456,0.34994516702835726
163,638.0,0.539,0.28906798823654756,0.462,0.34514373933585624,0.45,0.35481338923357547
164,637.0,0.531,0.2944421633798761,0.451,0.35399734108343467,0.444,0.3597493351557423
165,636.0,0.523,0.2999162518987651,0.442,0.3614098626396133,0.439,0.3639150361272071
166,635.0,0.516,0.3047894989627983,0.433,0.36897759857015033,0.434,0.36812897364253144
167,634.0,0.51,0.30902954325135906,0.425,0.3758374042884442,0.43,0.37153522909717257
168,633.0,0.504,0.31332857243155854,0.418,0.38194427084004656,0.426,0.3749730022454835
169,632.0,0.498,0.31768740706497706,0.412,0.38725764492161724,0.423,0.37757219092541605
170,631.0,0.494,0.3206269324505466,0.406,0.3926449353995998,0.42,0.3801893963205612
171,630.0,0.489,0.32433961734934924,0.4,0.3981071705534972,0.418,0.38194427084004656
172,629.0,0.485,0.3273406948788382,0.395,0.4027170343254591,0.416,0.3837072454922788
173,628.0,0.482,0.32960971217745777,0.391,0.40644332916521275,0.414,0.3854783576657718
174,627.0,0.48,0.3311311214825911,0.387,0.4102041029866068,0.413,0.3863669770540692
175,626.0,0.478,0.33265955329400454,0.383,0.41399967481973043,0.412,0.38725764492161724
176,625.0,0.475,0.33496543915782767,0.381,0.41591061049402206,0.411,0.3881503659906483
177,624.0,0.474,0.3357376142429547,0.378,0.4187935651179184,0.41,0.3890451449942806
178,623.0,0.473,0.33651156937549076,0.376,0.4207266283844441,0.41,0.3890451449942806
179,622.0,0.472,0.3372873086588689,0.375,0.4216965034285822,0.41,0.3890451449942806
180,621.0,0.471,0.3380648362059816,0.373,0.4236429660495411,0.411,0.3881503659906483
181,620.0,0.47,0.33884415613920255,0.372,0.4246195639463129,0.41,0.3890451449942806
182,619.0,0.47,0.33884415613920255,0.371,0.4255984131337431,0.41,0.3890451449942806
183,618.0,0.469,0.3396252725904084,0.37,0.42657951880159267,0.41,0.3890451449942806
184,617.0,0.468,0.34040818970100084,0.369,0.4275628861515862,0.41,0.3890451449942806
185,616.0,0.467,0.3411929116219285,0.368,0.4285485203974395,0.409,0.38994198667654345
186,615.0,0.465,0.34276778654645035,0.367,0.4295364267648873,0.409,0.38994198667654345
187,614.0,0.463,0.3443499307633385,0.366,0.43052661049171065,0.408,0.39084089579240205
188,613.0,0.46,0.3467368504525316,0.363,0.4335108783875289,0.406,0.3926449353995998
189,612.0,0.457,0.3491403154785861,0.361,0.4355118736855686,0.403,0.3953666200681279
190,611.0,0.453,0.35237087104248715,0.358,0.4385306977749857,0.401,0.3971915494694403
191,610.0,0.449,0.35563131856898533,0.354,0.44258837236262655,0.397,0.4008667176273028
192,609.0,0.444,0.3597493351557423,0.35,0.44668359215096315,0.394,0.40364539296760493
193,608.0,0.438,0.3647539469256078,0.346,0.45081670454146017,0.39,0.40738027780411273
194,607.0,0.432,0.3698281797802662,0.341,0.45603691595129614,0.385,0.4120975190973302
195,606.0,0.424,0.3767037989839089,0.336,0.46131757456037936,0.38,0.4168693834703354
196,605.0,0.416,0.3837072454922788,0.33,0.4677351412871982,0.374,0.422668614265603
197,604.0,0.408,0.39084089579240205,0.323,0.4753352259428053,0.368,0.4285485203974395
198,603.0,0.4,0.3981071705534972,0.316,0.48305880203977264,0.361,0.4355118736855686
199,602.0,0.392,0.40550853544838383,0.309,0.49090787615260306,0.355,0.4415704473533125
200,601.0,0.383,0.41399967481973043,0.302,0.49888448746001224,0.348,0.4487453899331322
201,600.0,0.374,0.422668614265603,0.295,0.5069907082747044,0.341,0.45603691595129614
202,599.0,0.365,0.43151907682776525,0.288,0.5152286445817565,0.334,0.463446919736288
203,598.0,0.355,0.4415704473533125,0.28,0.5248074602497725,0.327,0.4709773263969529
204,597.0,0.346,0.45081670454146017,0.271,0.5357966575133416,0.32,0.4786300923226383
205,596.0,0.337,0.460256573581356,0.263,0.5457578610912709,0.312,0.48752849010338634
206,595.0,0.327,0.4709773263969529,0.255,0.5559042572704036,0.305,0.49545019080479025
207,594.0,0.318,0.48083934844972853,0.247,0.5662392890382533,0.297,0.5046612975635284
208,593.0,0.309,0.49090787615260306,0.239,0.5767664633922508,0.29,0.5128613839913648
209,592.0,0.3,0.5011872336272722,0.231,0.5874893525297767,0.282,0.5223961889991198
210,591.0,0.291,0.5116818355403078,0.224,0.5970352865838369,0.275,0.5308844442309884
211,590.0,0.283,0.5211947111050804,0.216,0.6081350012787179,0.268,0.5395106225151276
212,589.0,0.275,0.5308844442309884,0.209,0.6180164001384159,0.262,0.5470159628939716
213,588.0,0.267,0.5407543229455808,0.202,0.628058358813318,0.255,0.5559042572704036
214,587.0,0.259,0.5508076964054034,0.195,0.6382634861905486,0.248,0.5649369748123025
215,586.0,0.251,0.5610479760324705,0.188,0.6486344335482384,0.242,0.5727960309858292
216,585.0,0.244,0.5701642722807475,0.182,0.6576578373554205,0.236,0.580764417521312
217,584.0,0.236,0.580764417521312,0.175,0.6683439175686147,0.23,0.5888436553555889
218,583.0,0.229,0.5902010801718443,0.169,0.6776415076106751,0.224,0.5970352865838369
219,582.0,0.223,0.5984115950603197,0.164,0.6854882264526616,0.218,0.6053408747539135
220,581.0,0.216,0.6081350012787179,0.158,0.6950243175887968,0.212,0.6137620051647942
221,580.0,0.21,0.6165950018614822,0.153,0.7030723198838335,0.207,0.6208690342300636
