Created as New Dataset;
nm;A
700.0;0.0674
699.0;0.0727
698.0;0.0815
697.0;0.0911
696.0;0.1020
695.0;0.1143
694.0;0.1281
693.0;0.1435
692.0;0.1601
691.0;0.1784
690.0;0.1983
689.0;0.2205
688.0;0.2450
687.0;0.2717
686.0;0.3004
685.0;0.3312
684.0;0.3641
683.0;0.3981
682.0;0.4336
681.0;0.4711
680.0;0.5101
679.0;0.5498
678.0;0.5898
677.0;0.6294
676.0;0.6678
675.0;0.7048
674.0;0.7392
673.0;0.7718
672.0;0.8013
671.0;0.8277
670.0;0.8503
669.0;0.8689
668.0;0.8835
667.0;0.8945
666.0;0.9023
665.0;0.9068
664.0;0.9084
663.0;0.9074
662.0;0.9042
661.0;0.8990
660.0;0.8924
659.0;0.8845
658.0;0.8754
657.0;0.8650
656.0;0.8538
655.0;0.8419
654.0;0.8294
653.0;0.8162
652.0;0.8026
651.0;0.7886
650.0;0.7741
649.0;0.7590
648.0;0.7434
647.0;0.7276
646.0;0.7119
645.0;0.6964
644.0;0.6810
643.0;0.6661
642.0;0.6514
641.0;0.6371
640.0;0.6232
639.0;0.6096
638.0;0.5970
637.0;0.5852
636.0;0.5741
635.0;0.5639
634.0;0.5541
633.0;0.5452
632.0;0.5371
631.0;0.5297
630.0;0.5232
629.0;0.5175
628.0;0.5127
627.0;0.5086
626.0;0.5051
625.0;0.5021
624.0;0.4997
623.0;0.4978
622.0;0.4964
621.0;0.4952
620.0;0.4942
619.0;0.4934
618.0;0.4925
617.0;0.4915
616.0;0.4902
615.0;0.4885
614.0;0.4865
613.0;0.4839
612.0;0.4807
611.0;0.4769
610.0;0.4722
609.0;0.4669
608.0;0.4608
607.0;0.4539
606.0;0.4464
605.0;0.4383
604.0;0.4296
603.0;0.4202
602.0;0.4103
601.0;0.4001
600.0;0.3896
599.0;0.3790
598.0;0.3683
597.0;0.3577
596.0;0.3473
595.0;0.3366
594.0;0.3259
593.0;0.3153
592.0;0.3049
591.0;0.2948
590.0;0.2851
589.0;0.2756
588.0;0.2665
587.0;0.2575
586.0;0.2487
585.0;0.2401
584.0;0.2319
583.0;0.2240
582.0;0.2166
581.0;0.2095
580.0;0.2027
579.0;0.1960
578.0;0.1897
577.0;0.1837
576.0;0.1778
