Created as New Dataset;
480.0;0.0337
479.0;0.0332
478.0;0.0328
477.0;0.0324
476.0;0.0320
475.0;0.0315
474.0;0.0311
473.0;0.0307
472.0;0.0302
471.0;0.0298
470.0;0.0294
469.0;0.0289
468.0;0.0286
467.0;0.0282
466.0;0.0278
465.0;0.0274
464.0;0.0271
463.0;0.0267
462.0;0.0263
461.0;0.0259
460.0;0.0256
459.0;0.0253
458.0;0.0250
457.0;0.0246
456.0;0.0243
455.0;0.0240
454.0;0.0237
453.0;0.0234
452.0;0.0231
451.0;0.0229
450.0;0.0226
449.0;0.0224
448.0;0.0221
447.0;0.0219
446.0;0.0217
445.0;0.0214
444.0;0.0214
443.0;0.0212
442.0;0.0211
441.0;0.0210
440.0;0.0209
439.0;0.0208
438.0;0.0208
437.0;0.0207
436.0;0.0207
435.0;0.0207
434.0;0.0208
433.0;0.0207
432.0;0.0208
431.0;0.0208
430.0;0.0209
429.0;0.0211
428.0;0.0211
427.0;0.0212
426.0;0.0214
425.0;0.0215
424.0;0.0218
423.0;0.0219
422.0;0.0222
421.0;0.0226
420.0;0.0229
419.0;0.0233
418.0;0.0238
417.0;0.0243
416.0;0.0249
415.0;0.0255
414.0;0.0263
413.0;0.0273
412.0;0.0284
411.0;0.0296
410.0;0.0310
409.0;0.0326
408.0;0.0345
407.0;0.0367
406.0;0.0388
405.0;0.0412
404.0;0.0437
403.0;0.0464
402.0;0.0489
401.0;0.0518
400.0;0.0540
399.0;0.0562
398.0;0.0587
397.0;0.0614
396.0;0.0643
395.0;0.0668
394.0;0.0693
393.0;0.0731
392.0;0.0762
391.0;0.0792
390.0;0.0817
389.0;0.0840
388.0;0.0864
387.0;0.0887
386.0;0.0907
385.0;0.0924
384.0;0.0944
383.0;0.0966
382.0;0.0985
381.0;0.0998
380.0;0.1023
379.0;0.1034
378.0;0.1049
377.0;0.1058
376.0;0.1068
375.0;0.1067
374.0;0.1075
373.0;0.1077
372.0;0.1080
371.0;0.1076
370.0;0.1077
369.0;0.1073
368.0;0.1061
367.0;0.1050
366.0;0.1041
365.0;0.1023
364.0;0.1007
363.0;0.0988
362.0;0.0971
361.0;0.0950
360.0;0.0932
359.0;0.0906
358.0;0.0887
357.0;0.0861
356.0;0.0842
355.0;0.0818
354.0;0.0793
353.0;0.0770
352.0;0.0741
351.0;0.0718
350.0;0.0691
349.0;0.0667
348.0;0.0640
347.0;0.0616
346.0;0.0590
345.0;0.0565
344.0;0.0539
343.0;0.0520
342.0;0.0493
341.0;0.0477
340.0;0.0461
339.0;0.0444
338.0;0.0436
337.0;0.0425
336.0;0.0417
335.0;0.0407
334.0;0.0394
333.0;0.0377
332.0;0.0357
331.0;0.0332
330.0;0.0298
329.0;0.0251
328.0;0.0193
327.0;0.0124
326.0;0.0047
325.0;-0.0045
324.0;-0.0141
323.0;-0.0253
322.0;-0.0373
321.0;-0.0500
320.0;-0.0639
319.0;-0.0787
318.0;-0.0944
317.0;-0.1115
316.0;-0.1299
315.0;-0.1496
314.0;-0.1714
313.0;-0.1950
312.0;-0.2192
311.0;-0.2443
310.0;-0.2706
309.0;-0.2972
308.0;-0.3260
307.0;-0.3554
306.0;-0.3867
305.0;-0.4204
304.0;-0.4558
303.0;-0.4936
302.0;-0.5357
301.0;-0.5812
300.0;-0.6323
299.0;-0.6906
298.0;-0.7560
297.0;-0.8305
296.0;-0.9162
295.0;-1.0112
294.0;-1.1191
293.0;-1.2399
292.0;-1.3860
291.0;-1.5337
290.0;-1.7110
289.0;-1.8967
288.0;-2.0550
287.0;-2.1809
286.0;-2.3853
285.0;-2.5623
284.0;-2.7193
283.0;-2.7184
282.0;-2.8224
281.0;-2.7244
280.0;-2.8575
279.0;-3.0638
278.0;-2.9839
277.0;-2.9482
276.0;-3.0271
275.0;-3.0323
274.0;-2.8383
273.0;-3.0280
272.0;-3.2266
271.0;-3.2488
270.0;-3.2117
269.0;-2.9888
268.0;-3.1076
267.0;-3.3281
266.0;-3.2830
265.0;-3.3412
264.0;-3.1430
263.0;-3.3197
262.0;-3.2668
261.0;-3.2873
260.0;-3.3632
259.0;-3.4300
258.0;-3.2930
257.0;-3.3652
256.0;-3.3101
255.0;-3.4531
254.0;-3.4127
253.0;-3.4244
252.0;-3.5417
251.0;-3.4964
250.0;-3.5212
249.0;-3.5334
248.0;-3.5921
247.0;-3.3459
246.0;-3.4286
245.0;-3.3830
244.0;-3.3744
243.0;-3.4953
242.0;-3.3097
241.0;-3.4574
240.0;-3.3488
239.0;-3.5794
238.0;-3.5746
237.0;-3.4240
236.0;-3.6032
235.0;-3.4577
234.0;-3.4910
233.0;-3.5448
232.0;-3.6254
231.0;-3.3342
230.0;-3.6007
229.0;-3.5374
228.0;-3.5428
227.0;-3.5907
226.0;-3.4494
225.0;-3.6543
224.0;-3.4748
223.0;-3.3942
222.0;-3.6077
221.0;-3.5557
220.0;-3.4650
219.0;-3.6146
218.0;-3.6211
217.0;-3.4316
216.0;-3.2452
215.0;-3.2962
214.0;-3.4931
213.0;-3.3914
212.0;-3.3035
211.0;-3.2989
210.0;-3.5739
209.0;-3.2495
208.0;-3.2622
207.0;-3.2551
206.0;-3.2245
205.0;-2.9394
204.0;-3.2186
203.0;-3.1143
202.0;-3.0299
201.0;-3.1378
200.0;-3.0102
