Created as New Dataset;
nm;A
700.0;0.0746
699.0;0.0790
698.0;0.0874
697.0;0.0965
696.0;0.1069
695.0;0.1185
694.0;0.1316
693.0;0.1462
692.0;0.1620
691.0;0.1793
690.0;0.1981
689.0;0.2191
688.0;0.2423
687.0;0.2674
686.0;0.2945
685.0;0.3235
684.0;0.3544
683.0;0.3864
682.0;0.4197
681.0;0.4548
680.0;0.4914
679.0;0.5287
678.0;0.5662
677.0;0.6034
676.0;0.6394
675.0;0.6740
674.0;0.7063
673.0;0.7367
672.0;0.7643
671.0;0.7890
670.0;0.8101
669.0;0.8275
668.0;0.8411
667.0;0.8512
666.0;0.8583
665.0;0.8623
664.0;0.8637
663.0;0.8626
662.0;0.8593
661.0;0.8543
660.0;0.8481
659.0;0.8406
658.0;0.8321
657.0;0.8225
656.0;0.8123
655.0;0.8015
654.0;0.7903
653.0;0.7788
652.0;0.7669
651.0;0.7550
650.0;0.7427
649.0;0.7300
648.0;0.7170
647.0;0.7040
646.0;0.6913
645.0;0.6787
644.0;0.6663
643.0;0.6543
642.0;0.6428
641.0;0.6316
640.0;0.6207
639.0;0.6101
638.0;0.6003
637.0;0.5912
636.0;0.5827
635.0;0.5749
634.0;0.5674
633.0;0.5606
632.0;0.5544
631.0;0.5488
630.0;0.5438
629.0;0.5394
628.0;0.5359
627.0;0.5327
626.0;0.5301
625.0;0.5279
624.0;0.5262
623.0;0.5248
622.0;0.5237
621.0;0.5228
620.0;0.5219
619.0;0.5211
618.0;0.5202
617.0;0.5190
616.0;0.5175
615.0;0.5156
614.0;0.5134
613.0;0.5105
612.0;0.5070
611.0;0.5028
610.0;0.4980
609.0;0.4923
608.0;0.4861
607.0;0.4791
606.0;0.4715
605.0;0.4634
604.0;0.4548
603.0;0.4456
602.0;0.4359
601.0;0.4259
600.0;0.4157
599.0;0.4054
598.0;0.3950
597.0;0.3848
596.0;0.3747
595.0;0.3645
594.0;0.3542
593.0;0.3441
592.0;0.3341
591.0;0.3244
590.0;0.3150
589.0;0.3058
588.0;0.2970
587.0;0.2883
586.0;0.2797
585.0;0.2713
584.0;0.2632
583.0;0.2554
582.0;0.2480
581.0;0.2409
580.0;0.2340
579.0;0.2273
578.0;0.2208
577.0;0.2145
576.0;0.2084
575.0;0.2026
574.0;0.1971
573.0;0.1917
572.0;0.1865
571.0;0.1814
570.0;0.1765
569.0;0.1717
568.0;0.1671
567.0;0.1626
566.0;0.1583
565.0;0.1541
564.0;0.1499
563.0;0.1458
562.0;0.1416
561.0;0.1376
560.0;0.1337
559.0;0.1299
558.0;0.1262
557.0;0.1224
556.0;0.1188
555.0;0.1151
554.0;0.1115
553.0;0.1080
552.0;0.1046
551.0;0.1014
550.0;0.0982
549.0;0.0951
548.0;0.0921
547.0;0.0892
546.0;0.0864
545.0;0.0837
544.0;0.0811
543.0;0.0786
542.0;0.0763
541.0;0.0740
540.0;0.0718
539.0;0.0697
538.0;0.0677
537.0;0.0658
536.0;0.0640
535.0;0.0623
534.0;0.0607
533.0;0.0592
532.0;0.0578
531.0;0.0564
530.0;0.0551
529.0;0.0538
528.0;0.0527
527.0;0.0516
526.0;0.0507
525.0;0.0497
524.0;0.0489
523.0;0.0481
522.0;0.0473
521.0;0.0466
520.0;0.0460
519.0;0.0455
518.0;0.0449
517.0;0.0446
516.0;0.0441
515.0;0.0437
514.0;0.0434
513.0;0.0431
512.0;0.0429
511.0;0.0427
510.0;0.0425
509.0;0.0423
508.0;0.0421
507.0;0.0420
506.0;0.0419
505.0;0.0417
504.0;0.0416
503.0;0.0415
502.0;0.0413
501.0;0.0412
500.0;0.0410
499.0;0.0407
498.0;0.0406
497.0;0.0403
496.0;0.0401
495.0;0.0398
494.0;0.0395
493.0;0.0392
492.0;0.0388
491.0;0.0385
490.0;0.0380
489.0;0.0377
488.0;0.0373
487.0;0.0369
486.0;0.0365
485.0;0.0360
484.0;0.0356
483.0;0.0351
482.0;0.0346
481.0;0.0342
